2025-12-10 19:15:40,058 [shrimp_1_code] DEBUG: Successfully entered setup code
2025-12-10 19:16:15,263 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(13))
2025-12-10 19:16:15,263 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: BOMB
2025-12-10 19:16:15,396 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(13))
2025-12-10 19:16:15,396 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: DOWN
2025-12-10 19:16:15,501 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(13))
2025-12-10 19:16:15,502 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: DOWN
2025-12-10 19:16:15,596 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(3), np.int64(15))
2025-12-10 19:16:15,596 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: RIGHT
2025-12-10 19:16:15,655 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(3), np.int64(15))
2025-12-10 19:16:15,655 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: RIGHT
2025-12-10 19:16:15,948 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(10))
2025-12-10 19:16:15,948 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: LEFT
2025-12-10 19:16:16,047 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(10))
2025-12-10 19:16:16,047 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: LEFT
2025-12-10 19:16:16,104 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(10))
2025-12-10 19:16:16,104 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
2025-12-10 19:16:16,218 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(10))
2025-12-10 19:16:16,218 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
2025-12-10 19:16:16,348 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(10))
2025-12-10 19:16:16,348 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
2025-12-10 19:16:16,583 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(10))
2025-12-10 19:16:16,583 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
2025-12-10 19:16:16,685 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(10))
2025-12-10 19:16:16,685 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: BOMB
2025-12-10 19:16:16,798 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(10))
2025-12-10 19:16:16,798 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: DOWN
2025-12-10 19:16:16,886 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(10))
2025-12-10 19:16:16,887 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: DOWN
2025-12-10 19:16:16,963 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(10))
2025-12-10 19:16:16,963 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: RIGHT
2025-12-10 19:16:17,069 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(10))
2025-12-10 19:16:17,069 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: RIGHT
2025-12-10 19:16:17,178 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(2), np.int64(11))
2025-12-10 19:16:17,178 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
2025-12-10 19:16:17,329 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(2), np.int64(11))
2025-12-10 19:16:17,329 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
2025-12-10 19:16:17,466 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(2), np.int64(11))
2025-12-10 19:16:17,466 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: BOMB
2025-12-10 19:16:17,601 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(2), np.int64(11))
2025-12-10 19:16:17,601 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: DOWN
2025-12-10 19:16:17,657 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(2), np.int64(11))
2025-12-10 19:16:17,657 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: DOWN
2025-12-10 19:16:17,795 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(2), np.int64(11))
2025-12-10 19:16:17,796 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: RIGHT
2025-12-10 19:16:18,034 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(2), np.int64(11))
2025-12-10 19:16:18,035 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: WAIT
2025-12-10 19:16:18,176 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(2), np.int64(11))
2025-12-10 19:16:18,176 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: WAIT
2025-12-10 19:16:18,236 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(2), np.int64(11))
2025-12-10 19:16:18,236 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: LEFT
2025-12-10 19:16:18,393 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(2), np.int64(11))
2025-12-10 19:16:18,393 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
2025-12-10 19:16:18,504 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(2), np.int64(11))
2025-12-10 19:16:18,504 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
2025-12-10 19:16:18,588 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(2), np.int64(11))
2025-12-10 19:16:18,588 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: LEFT
2025-12-10 19:16:18,661 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(10))
2025-12-10 19:16:18,661 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: LEFT
2025-12-10 19:16:18,741 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(10))
2025-12-10 19:16:18,741 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
2025-12-10 19:16:18,863 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(5), np.int64(1))
2025-12-10 19:16:18,863 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
2025-12-10 19:16:18,957 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(5), np.int64(1))
2025-12-10 19:16:18,957 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
2025-12-10 19:16:19,028 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(5), np.int64(1))
2025-12-10 19:16:19,028 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
2025-12-10 19:16:19,201 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(5), np.int64(1))
2025-12-10 19:16:19,201 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: BOMB
2025-12-10 19:16:19,284 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(5), np.int64(1))
2025-12-10 19:16:19,284 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: DOWN
2025-12-10 19:16:19,344 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(5), np.int64(1))
2025-12-10 19:16:19,345 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: DOWN
2025-12-10 19:16:19,466 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(5), np.int64(1))
2025-12-10 19:16:19,466 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: RIGHT
2025-12-10 19:16:19,574 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(5), np.int64(1))
2025-12-10 19:16:19,575 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: RIGHT
2025-12-10 19:16:19,662 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(5), np.int64(1))
2025-12-10 19:16:19,662 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: LEFT
2025-12-10 19:16:19,771 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(5), np.int64(1))
2025-12-10 19:16:19,771 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: LEFT
2025-12-10 19:16:19,895 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(5), np.int64(1))
2025-12-10 19:16:19,895 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
2025-12-10 19:16:20,009 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(5), np.int64(1))
2025-12-10 19:16:20,010 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
2025-12-10 19:16:20,081 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(5), np.int64(1))
2025-12-10 19:16:20,082 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
2025-12-10 19:16:20,164 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(5), np.int64(1))
2025-12-10 19:16:20,165 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
2025-12-10 19:16:20,236 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(5), np.int64(1))
2025-12-10 19:16:20,236 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
2025-12-10 19:16:20,359 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(5), np.int64(1))
2025-12-10 19:16:20,359 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
2025-12-10 19:16:20,452 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(5), np.int64(1))
2025-12-10 19:16:20,452 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
2025-12-10 19:16:20,556 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(5), np.int64(1))
2025-12-10 19:16:20,556 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
2025-12-10 19:16:20,695 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(5), np.int64(1))
2025-12-10 19:16:20,696 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: RIGHT
2025-12-10 19:16:20,768 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(5), np.int64(1))
2025-12-10 19:16:20,768 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: RIGHT
2025-12-10 19:16:20,926 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(5), np.int64(1))
2025-12-10 19:16:20,926 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: BOMB
2025-12-10 19:16:21,008 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(5), np.int64(1))
2025-12-10 19:16:21,008 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: RIGHT
2025-12-10 19:16:21,064 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(5), np.int64(1))
2025-12-10 19:16:21,064 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: RIGHT
2025-12-10 19:16:21,179 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(5), np.int64(1))
2025-12-10 19:16:21,179 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: RIGHT
2025-12-10 19:16:21,245 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(6), np.int64(1))
2025-12-10 19:16:21,245 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: WAIT
2025-12-10 19:16:40,484 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(2), np.int64(1))
2025-12-10 19:16:40,484 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: RIGHT
2025-12-10 19:16:40,592 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(2), np.int64(1))
2025-12-10 19:16:40,592 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: BOMB
2025-12-10 19:16:40,728 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(2), np.int64(1))
2025-12-10 19:16:40,729 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: LEFT
2025-12-10 19:16:40,963 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(2), np.int64(1))
2025-12-10 19:16:40,963 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: DOWN
2025-12-10 19:16:41,089 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(2))
2025-12-10 19:16:41,089 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
2025-12-10 19:16:41,329 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(2))
2025-12-10 19:16:41,329 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: DOWN
2025-12-10 19:16:41,460 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(2))
2025-12-10 19:16:41,460 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: WAIT
2025-12-10 19:16:41,506 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(2))
2025-12-10 19:16:41,506 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
2025-12-10 19:16:41,645 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(2))
2025-12-10 19:16:41,645 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: DOWN
2025-12-10 19:16:41,745 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(2))
2025-12-10 19:16:41,745 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: BOMB
2025-12-10 19:16:41,880 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(2))
2025-12-10 19:16:41,880 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
2025-12-10 19:16:42,012 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(2))
2025-12-10 19:16:42,012 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: RIGHT
2025-12-10 19:16:42,070 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(2))
2025-12-10 19:16:42,070 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: LEFT
2025-12-10 19:16:42,247 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(2))
2025-12-10 19:16:42,247 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: RIGHT
2025-12-10 19:16:42,388 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(4))
2025-12-10 19:16:42,388 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: RIGHT
2025-12-10 19:16:42,533 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(4))
2025-12-10 19:16:42,533 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: LEFT
2025-12-10 19:16:42,669 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(4))
2025-12-10 19:16:42,669 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: LEFT
2025-12-10 19:16:42,766 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(4))
2025-12-10 19:16:42,766 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: DOWN
2025-12-10 19:16:42,830 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(4))
2025-12-10 19:16:42,830 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: DOWN
2025-12-10 19:16:42,985 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(4))
2025-12-10 19:16:42,985 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: BOMB
2025-12-10 19:16:43,227 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(4))
2025-12-10 19:16:43,227 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: DOWN
2025-12-10 19:16:43,338 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(5))
2025-12-10 19:16:43,338 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: DOWN
2025-12-10 19:16:43,387 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(5))
2025-12-10 19:16:43,388 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: UP
2025-12-10 19:16:43,540 [shrimp_1_code] DEBUG: Suitable target found at (np.int64(1), np.int64(5))
2025-12-10 19:16:43,540 [shrimp_1_code] INFO: I am shrimp_1, acting as LURER. Chosen action: WAIT
